Time (sec),Rate μcal/sec
2092,-0.0015686656754418833
2093,-0.0015266268263586097
2094,-0.0014845879772753365
2095,-0.0014031032777115928
2096,-0.0013162395985368816
2097,-0.0012293759193621702
2098,-0.001142512240187459
2099,-0.0010556485610127477
2100,-0.0009687848818380364
2101,-0.000974490751429948
2102,-0.0010005167658730474
2103,-0.0010265427803161466
2104,-0.0010525687947592456
2105,-0.0010785948092023449
2106,-0.0011046208236454441
2107,-0.0010795729492398742
2108,-0.001032636265327713
2109,-0.0009856995814155518
2110,-0.0009387628975033905
2111,-0.0008918262135912294
2112,-0.0008448895296790682
2113,-0.0007791289062440835
2114,-0.0007027798168275047
2115,-0.000626430727410926
2116,-0.000550081637994347
2117,-0.00047373254857776826
2118,-0.0003973834591611895
2119,-0.0003996983422461527
2120,-0.00047462612302485226
2121,-0.0005495539038035519
2122,-0.0006244816845822514
2123,-0.000699409465360951
2124,-0.0007743372461396506
2125,-0.0008051200614521162
2126,-0.0007840805259998799
2127,-0.0007630409905476437
2128,-0.0007420014550954074
2129,-0.0007209619196431712
2130,-0.0006999223841909348
2131,-0.0006558201431397357
2132,-0.0005669491206317559
2133,-0.00047807809812377576
2134,-0.00038920707561579577
2135,-0.00030033605310781573
2136,-0.0002114650305998357
2137,-0.00013419575355489344
2138,-8.675953627208617e-05
2139,-3.932331898927892e-05
2140,8.112898293528313e-06
2141,5.554911557633555e-05
2142,0.00010298533285914281
2143,0.00014250955128210246
2144,0.00014049577569095773
2145,0.000138482000099813
2146,0.00013646822450866827
2147,0.00013445444891752354
2148,0.0001324406733263788
2149,0.00013505069155226565
2150,0.00017927485413147867
2151,0.00022349901671069166
2152,0.0002677231792899047
2153,0.00031194734186911773
2154,0.00035617150444833067
2155,0.0004003956670275437
2180,-0.023748675599838714
2181,-0.02245489980066049
2182,-0.021161124001482266
2183,-0.01986734820230404
2184,-0.01857357240312582
2185,-0.017279796603947597
2186,-0.016558919450850862
2187,-0.016288176948246823
2188,-0.016017434445642784
2189,-0.01574669194303874
2190,-0.015475949440434704
2191,-0.015205206937830664
2192,-0.01451756544005402
2193,-0.013413024947104777
2194,-0.012308484454155534
2195,-0.01120394396120629
2196,-0.010099403468257048
2197,-0.008994862975307804
2198,-0.008017649064868789
2199,-0.0072481785258937375
2200,-0.006478707986918686
2201,-0.005709237447943633
2202,-0.004939766908968581
2203,-0.004170296369993528
2204,-0.003652810591629783
2205,-0.00367079242956466
2206,-0.003688774267499536
2207,-0.0037067561054344132
2208,-0.0037247379433692895
2209,-0.003742719781304166
2210,-0.0037182007075648752
2211,-0.003523677987129203
2212,-0.003329155266693531
2213,-0.003134632546257858
2214,-0.002940109825822186
2215,-0.0027455871053865136
2216,-0.0025962030220627996
2217,-0.002724099138141408
2218,-0.002851995254220016
2219,-0.0029798913702986244
2220,-0.003107787486377233
2221,-0.0032356836024558413
2222,-0.003358549397426541
2223,-0.00323492945810949
2224,-0.0031113095187924383
2225,-0.002987689579475387
2226,-0.002864069640158336
2227,-0.0027404497008412846
2228,-0.002616829761524233
2229,-0.002663846542583624
2230,-0.0027179731869920267
2231,-0.0027720998314004295
2232,-0.0028262264758088323
2233,-0.002880353120217235
2234,-0.002934479764625638
2235,-0.0028580859766059127
2236,-0.0027671899183164097
2237,-0.0026762938600269075
2238,-0.002585397801737405
2239,-0.002494501743447902
2240,-0.0024036056851583997
2241,-0.0024151901759972404
2242,-0.002455679437103092
2243,-0.0024961686982089442
2244,-0.002536657959314796
2245,-0.002577147220420648
2246,-0.0026176364815265
2247,-0.0025173766815081355
2248,-0.0023623811354969654
2249,-0.0022073855894857953
2250,-0.0020523900434746252
2251,-0.0018973944974634556
2252,-0.0017423989514522855
2253,-0.0017252785670581023
2254,-0.0018000749570751043
2255,-0.0018748713470921063
2256,-0.0019496677371091083
2257,-0.00202446412712611
2258,-0.002099260517143112
2259,-0.0021318765473317325
2260,-0.002128561159888764
2261,-0.002125245772445795
2262,-0.0021219303850028262
2263,-0.002118614997559857
2264,-0.002115299610116888
2265,-0.0020886946845380372
2266,-0.0020299280158191687
2267,-0.0019711613471003
2268,-0.0019123946783814313
2269,-0.0018536280096625628
2270,-0.0017948613409436945
2271,-0.0017444780366842221
2272,-0.0017089984914636692
2273,-0.001673518946243116
2274,-0.0016380394010225626
2275,-0.0016025598558020095
2276,-0.0015670803105814562
2277,-0.0015160012287093335
2278,-0.001415523614107305
2279,-0.0013150459995052767
2280,-0.001214568384903248
